Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  | Auth. (ms) |
|    206    |  0.03767014  |  0.00739098  |   0.04887581   |  | 0.24104118 |
|    207    |  0.03147125  |  0.00572205  |   0.02956390   |  | 0.17738342 |
|    208    |  0.04959106  |  0.00762939  |   0.03647804   |  | 0.22959709 |
|    209    |  0.03218651  |  0.00572205  |   0.03075600   |  | 0.17786026 |
|    210    |  0.04816055  |  0.00786781  |   0.03671646   |  | 0.22792816 |
|    211    |  0.04291534  |  0.00953674  |   0.03910065   |  | 0.26488304 |
|    212    |  0.03767014  |  0.00810623  |   0.03671646   |  | 0.22864342 |
|    213    |  0.03266335  |  0.00762939  |   0.03600121   |  | 0.20456314 |
|    214    |  0.03695488  |  0.00977516  |   0.04053116   |  | 0.24318695 |
|    215    |  0.03743172  |  0.00882149  |   0.03886223   |  | 0.22912025 |
|    216    |  0.04696846  |  0.00834465  |   0.03743172   |  | 0.23841858 |
|    217    |  0.01978874  |  0.00762939  |   0.03218651   |  | 0.16069412 |
|    218    |  0.04839897  |  0.00762939  |   0.03600121   |  | 0.22840500 |
|    219    |  0.03767014  |  0.00953674  |   0.03790855   |  | 0.25653839 |
|    220    |  0.03814697  |  0.00858307  |   0.04982948   |  | 0.25153160 |
|    221    |  0.03767014  |  0.01168251  |   0.04434586   |  | 0.24175644 |
|    222    |  0.03838539  |  0.00762939  |   0.04768372   |  | 0.23770332 |
|    223    |  0.03147125  |  0.00572205  |   0.02884865   |  | 0.17833710 |
|    224    |  0.03695488  |  0.00810623  |   0.03552437   |  | 0.24175644 |
|    225    |  0.03671646  |  0.00810623  |   0.04816055   |  | 0.22888184 |
|    226    |  0.01645088  |  0.00572205  |   0.02026558   |  | 0.11992455 |
|    227    |  0.03170967  |  0.00619888  |   0.02813339   |  | 0.20837784 |
|    228    |  0.03242493  |  0.00786781  |   0.04625320   |  | 0.20909309 |
|    229    |  0.03647804  |  0.00882149  |   0.03552437   |  | 0.23055077 |
|    230    |  0.03600121  |  0.00834465  |   0.03910065   |  | 0.22053719 |
|    231    |  0.03170967  |  0.00643730  |   0.02908707   |  | 0.17833710 |
|    232    |  0.03790855  |  0.00834465  |   0.03647804   |  | 0.24437904 |
|    233    |  0.03862381  |  0.01001358  |   0.05292892   |  | 0.25010109 |
|    234    |  0.06246567  |  0.00739098  |   0.03671646   |  | 0.26106834 |
|    235    |  0.03027916  |  0.00619888  |   0.02861023   |  | 0.20051003 |
|    236    |  0.03147125  |  0.00619888  |   0.03981590   |  | 0.19073486 |
|    237    |  0.03719330  |  0.00834465  |   0.03647804   |  | 0.21934509 |
|    238    |  0.03051758  |  0.00548363  |   0.03933907   |  | 0.18763542 |
|    239    |  0.03218651  |  0.00596046  |   0.02837181   |  | 0.19264221 |
|    240    |  0.03170967  |  0.00619888  |   0.02884865   |  | 0.18930435 |
|    241    |  0.03790855  |  0.00810623  |   0.04911423   |  | 0.24986267 |
|    242    |  0.05483627  |  0.01072884  |   0.03814697   |  | 0.25415421 |
|    243    |  0.03099442  |  0.00572205  |   0.02908707   |  | 0.19788742 |
|    244    |  0.03194809  |  0.00572205  |   0.03933907   |  | 0.18978119 |
|    245    |  0.03647804  |  0.00786781  |   0.03743172   |  | 0.23937225 |
|    246    |  0.11444092  |  0.02408028  |   0.03838539   |  | 0.35953522 |
|    247    |  0.03552437  |  0.00762939  |   0.03647804   |  | 0.22029877 |
|    248    |  0.02145767  |  0.00834465  |   0.03027916   |  | 0.17714500 |
|    249    |  0.03767014  |  0.00739098  |   0.04720688   |  | 0.23221970 |
|    250    |  0.03242493  |  0.00596046  |   0.03004074   |  | 0.17929077 |
|    251    |  0.03814697  |  0.00762939  |   0.03623962   |  | 0.22339821 |
|    252    |  0.03790855  |  0.00810623  |   0.04768372   |  | 0.23412704 |
|    253    |  0.03790855  |  0.00762939  |   0.03623962   |  | 0.23555756 |
|    254    |  0.03170967  |  0.01907349  |   0.02884865   |  | 0.19240379 |
|    255    |  0.03790855  |  0.01072884  |   0.04172325   |  | 0.23126602 |
|    256    |  0.03194809  |  0.00739098  |   0.02837181   |  | 0.19216537 |
|    257    |  0.03194809  |  0.00548363  |   0.03933907   |  | 0.20122528 |
|    258    |  0.01454353  |  0.00691414  |   0.01931190   |  | 0.12564659 |
|    259    |  0.04243851  |  0.00619888  |   0.02861023   |  | 0.19288063 |
|    260    |  0.03647804  |  0.00786781  |   0.04816055   |  | 0.23293495 |
|    261    |  0.03743172  |  0.00810623  |   0.03647804   |  | 0.22459030 |
|    262    |  0.04863739  |  0.00953674  |   0.02861023   |  | 0.25320053 |
|    263    |  0.03623962  |  0.00834465  |   0.03695488   |  | 0.22363663 |
|    264    |  0.05102158  |  0.00810623  |   0.03695488   |  | 0.25367737 |
|    265    |  0.04601479  |  0.01025200  |   0.03910065   |  | 0.25558472 |
|    266    |  0.03170967  |  0.00619888  |   0.02861023   |  | 0.20503998 |
|    267    |  0.04887581  |  0.00882149  |   0.03838539   |  | 0.24628639 |
|    268    |  0.03743172  |  0.00834465  |   0.04696846   |  | 0.23365021 |
|    269    |  0.02121925  |  0.00858307  |   0.02908707   |  | 0.17166138 |
|    270    |  0.03695488  |  0.00882149  |   0.03528595   |  | 0.22602081 |
|    271    |  0.03719330  |  0.00786781  |   0.04673004   |  | 0.23555756 |
|    272    |  0.05173683  |  0.00762939  |   0.03695488   |  | 0.24104118 |
|    273    |  0.03814697  |  0.00762939  |   0.04768372   |  | 0.24104118 |
|    274    |  0.03600121  |  0.00762939  |   0.03480911   |  | 0.23627281 |
|    275    |  0.03242493  |  0.00572205  |   0.02884865   |  | 0.19359589 |
|    276    |  0.03814697  |  0.00905991  |   0.05030632   |  | 0.24771690 |
|    277    |  0.01430511  |  0.00619888  |   0.02026558   |  | 0.11777878 |
|    278    |  0.01502037  |  0.00596046  |   0.02002716   |  | 0.12946129 |
|    279    |  0.02121925  |  0.00786781  |   0.03504753   |  | 0.18548965 |
|    280    |  0.03242493  |  0.00596046  |   0.03647804   |  | 0.20575523 |
|    281    |  0.04243851  |  0.00619888  |   0.03051758   |  | 0.19598007 |
|    282    |  0.03552437  |  0.00762939  |   0.03552437   |  | 0.24604797 |
|    283    |  0.04005432  |  0.00810623  |   0.03671646   |  | 0.22459030 |
|    284    |  0.03647804  |  0.00762939  |   0.04768372   |  | 0.23603439 |
|    285    |  0.03767014  |  0.00596046  |   0.02884865   |  | 0.20360947 |
|    286    |  0.03099442  |  0.00548363  |   0.02908707   |  | 0.19407272 |
|    287    |  0.03290176  |  0.00548363  |   0.03743172   |  | 0.19359589 |
|    288    |  0.01549721  |  0.00619888  |   0.02455711   |  | 0.13875961 |
|    289    |  0.02312660  |  0.00762939  |   0.02956390   |  | 0.16474724 |
|    290    |  0.03194809  |  0.00596046  |   0.02908707   |  | 0.18334389 |
|    291    |  0.03886223  |  0.00882149  |   0.02956390   |  | 0.24271011 |
|    292    |  0.03623962  |  0.00762939  |   0.04792213   |  | 0.23937225 |
|    293    |  0.04291534  |  0.01144409  |   0.03719330   |  | 0.27275085 |
|    294    |  0.03600121  |  0.00810623  |   0.03647804   |  | 0.23889542 |
|    295    |  0.03790855  |  0.00882149  |   0.04935265   |  | 0.23984909 |
|    296    |  0.03743172  |  0.00786781  |   0.03671646   |  | 0.22768974 |
|    297    |  0.03743172  |  0.01168251  |   0.04243851   |  | 0.25081635 |
|    298    |  0.04172325  |  0.00596046  |   0.02956390   |  | 0.19741058 |
|    299    |  0.03123283  |  0.00572205  |   0.02884865   |  | 0.19001961 |
|    300    |  0.03647804  |  0.00572205  |   0.03957748   |  | 0.21767616 |
|    301    |  0.03075600  |  0.00905991  |   0.03123283   |  | 0.19645691 |
|    302    |  0.03218651  |  0.00548363  |   0.02861023   |  | 0.19645691 |
|    303    |  0.03600121  |  0.01931190  |   0.04649162   |  | 0.24914742 |
|    304    |  0.03623962  |  0.01025200  |   0.04673004   |  | 0.25606155 |
|    305    |  0.02002716  |  0.00667572  |   0.02050400   |  | 0.15377998 |
|    306    |  0.03695488  |  0.00786781  |   0.03719330   |  | 0.22864342 |
|    307    |  0.03743172  |  0.00762939  |   0.03600121   |  | 0.23984909 |
|    308    |  0.03600121  |  0.00905991  |   0.04887581   |  | 0.23913383 |
|    309    |  0.02956390  |  0.00667572  |   0.03623962   |  | 0.21266937 |
|    310    |  0.04982948  |  0.00905991  |   0.03814697   |  | 0.25653839 |
|    311    |  0.03623962  |  0.00858307  |   0.04839897   |  | 0.25391579 |
|    312    |  0.03790855  |  0.00834465  |   0.03623962   |  | 0.25486946 |
|    313    |  0.03218651  |  0.00691414  |   0.02789497   |  | 0.20265579 |
|    314    |  0.03695488  |  0.00834465  |   0.03576279   |  | 0.23818016 |
|    315    |  0.03767014  |  0.00810623  |   0.04959106   |  | 0.24342537 |
|    316    |  0.04172325  |  0.00786781  |   0.04768372   |  | 0.27370453 |
|    317    |  0.03886223  |  0.00643730  |   0.02789497   |  | 0.24175644 |
|    318    |  0.05054474  |  0.00834465  |   0.03838539   |  | 0.25868416 |
|    319    |  0.03838539  |  0.00762939  |   0.04649162   |  | 0.25701523 |
|    320    |  0.03838539  |  0.00882149  |   0.03528595   |  | 0.23221970 |
|    321    |  0.03361702  |  0.00619888  |   0.02980232   |  | 0.19240379 |
|    322    |  0.03695488  |  0.00762939  |   0.04458427   |  | 0.23555756 |
|    323    |  0.03743172  |  0.00786781  |   0.04959106   |  | 0.25653839 |
|    324    |  0.04887581  |  0.00762939  |   0.03838539   |  | 0.22912025 |
|    325    |  0.03194809  |  0.00596046  |   0.02980232   |  | 0.18906593 |
|    326    |  0.03767014  |  0.00810623  |   0.03600121   |  | 0.24819374 |
|    327    |  0.03981590  |  0.00858307  |   0.05722046   |  | 0.25629997 |
|    328    |  0.04315376  |  0.00619888  |   0.03242493   |  | 0.21290779 |
|    329    |  0.03695488  |  0.00810623  |   0.03671646   |  | 0.24223328 |
|    330    |  0.03790855  |  0.00834465  |   0.04863739   |  | 0.25677681 |
|    331    |  0.03623962  |  0.00905991  |   0.03695488   |  | 0.23555756 |
|    332    |  0.03194809  |  0.00548363  |   0.03075600   |  | 0.20217896 |
|    333    |  0.03695488  |  0.00762939  |   0.03504753   |  | 0.21553040 |
|    334    |  0.03814697  |  0.00786781  |   0.03671646   |  | 0.24986267 |
|    335    |  0.04982948  |  0.00762939  |   0.04696846   |  | 0.25534630 |
