Device 1 (D1) start connection to server
   D1 sends M1 to Server: (1, b'\xf4\x00I\xe8w\x8f\x15+\x99\xde\xac\x06v\x85\x0fN')
Server refuse Device 1, already connected


Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+-------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  |  Auth. (ms) |
|    307    |  0.02193451  |  0.00858307  |   0.03528595   |  |  0.18286705 |
|    308    |  0.02169609  |  0.00858307  |   0.02956390   |  |  0.17547607 |
|    309    |  0.02169609  |  0.01239777  |   0.03027916   |  |  0.18906593 |
|    310    |  0.02145767  |  0.00929832  |   0.02956390   |  |  0.17642975 |
|    311    |  0.02169609  |  0.00858307  |   0.02956390   |  |  0.18191338 |
|    312    |  0.02193451  |  0.00882149  |   0.03743172   |  |  0.18310547 |
|    313    |  0.02145767  |  0.00882149  |   0.02980232   |  |  0.17762184 |
|    314    |  0.02193451  |  0.00858307  |   0.02908707   |  |  0.18358231 |
|    315    |  0.02169609  |  0.00953674  |   0.03147125   |  |  0.18239021 |
|    316    |  0.02813339  |  0.00834465  |   0.03314018   |  |  0.18954277 |
|    317    |  0.02217293  |  0.01072884  |   0.03027916   |  |  0.19288063 |
|    318    |  0.02169609  |  0.00882149  |   0.03051758   |  |  0.18215179 |
|    319    |  0.02169609  |  0.00905991  |   0.03123283   |  |  0.18405914 |
|    320    |  0.01478195  |  0.00548363  |   0.01907349   |  |  0.11229515 |
|    321    |  0.02145767  |  0.00834465  |   0.02980232   |  |  0.18215179 |
|    322    |  0.02646446  |  0.00905991  |   0.02980232   |  |  0.18239021 |
|    323    |  0.02193451  |  0.00858307  |   0.03480911   |  |  0.18167496 |
