

Timing Results, ECC
+-----------+--------------+------------+-------------+--+------------+
| Device ID | Key Gen (ms) | Sign (ms)  | Verify (ms) |  | Auth. (ms) |
|    257    |  0.02241135  | 0.36048889 |  0.83994865 |  | 2.40135193 |
|    258    |  0.02288818  | 0.35595894 |  0.83446503 |  | 2.39276886 |
|    259    |  0.02241135  | 0.35524368 |  0.84018707 |  | 2.39706039 |
|    260    |  0.02264977  | 0.35929680 |  0.85711479 |  | 2.41374969 |
|    261    |  0.02551079  | 0.35691261 |  0.83112717 |  | 2.37250328 |
|    262    |  0.02241135  | 0.35452843 |  0.81372261 |  | 2.33912468 |
|    263    |  0.02217293  | 0.35214424 |  0.80752373 |  | 2.33054161 |
|    264    |  0.02193451  | 0.34713745 |  0.81110001 |  | 2.32267380 |
|    265    |  0.02217293  | 0.34570694 |  0.79345703 |  | 2.28977203 |
|    266    |  0.02169609  | 0.34046173 |  0.79488754 |  | 2.26950645 |
|    267    |  0.02145767  | 0.33903122 |  0.78463554 |  | 2.25615501 |
|    268    |  0.02121925  | 0.33354759 |  0.77795982 |  | 2.22444534 |
|    269    |  0.02098083  | 0.33497810 |  0.76627731 |  | 2.21085548 |
|    270    |  0.02050400  | 0.32973289 |  0.76770782 |  | 2.19583511 |
|    271    |  0.02074242  | 0.32472610 |  0.75840950 |  | 2.17127800 |
|    272    |  0.02026558  | 0.31971931 |  0.75125694 |  | 2.15601921 |
|    273    |  0.02026558  | 0.31757355 |  0.74863434 |  | 2.13551521 |
|    274    |  0.02050400  | 0.31638145 |  0.74553490 |  | 2.13170052 |
|    275    |  0.02002716  | 0.32019615 |  0.74839592 |  | 2.14195251 |
|    276    |  0.01978874  | 0.32067299 |  0.74672699 |  | 2.13360786 |
|    277    |  0.02002716  | 0.31876564 |  0.74958801 |  | 2.14290619 |
|    278    |  0.02026558  | 0.32401085 |  0.74672699 |  | 2.14242935 |
|    279    |  0.02002716  | 0.32114983 |  0.74839592 |  | 2.13885307 |
|    280    |  0.02026558  | 0.32114983 |  0.74791908 |  | 2.14433670 |
|    281    |  0.02074242  | 0.32329559 |  0.74768066 |  | 2.14314461 |
|    282    |  0.02026558  | 0.32091141 |  0.74934959 |  | 2.14004517 |
|    283    |  0.02026558  | 0.31948090 |  0.75006485 |  | 2.13670731 |
|    284    |  0.02002716  | 0.32186508 |  0.74696541 |  | 2.13623047 |
|    285    |  0.02050400  | 0.31995773 |  0.74934959 |  | 2.14219093 |
|    286    |  0.02026558  | 0.32091141 |  0.74934959 |  | 2.14195251 |
|    287    |  0.02026558  | 0.32234192 |  0.74505806 |  | 2.14600563 |
|    288    |  0.02026558  | 0.31995773 |  0.74648857 |  | 2.13360786 |
